"","fips","Hillary Clinton","Donald Trump","Jill Stein","Gary Johnson","Third","diff"
"414","17137",4693,9060,187,667,854,-4367
"415","17139",1476,4453,43,237,280,-2977
"416","17141",8025,14344,274,1155,1429,-6319
"417","17143",37436,35299,1065,3665,4730,2137
"418","17145",2433,6816,112,345,457,-4383
"419","17147",2633,5623,86,557,643,-2990
"420","17149",1412,5749,40,257,297,-4337
"421","17151",374,1678,18,62,80,-1304
"422","17153",817,1583,19,54,73,-766
"423","17155",1143,1762,35,136,171,-619
"424","17157",3421,9992,134,485,619,-6571
"425","17159",1579,5736,81,234,315,-4157
"426","17161",32258,26969,732,3012,3744,5289
"427","17163",60180,53479,1442,4100,5542,6701
"428","17165",2551,8248,77,358,435,-5697
"429","17167",40731,49823,1434,4484,5918,-9092
"430","17169",1074,2523,41,154,195,-1449
"431","17171",528,1965,22,68,90,-1437
"432","17173",2279,8209,55,369,424,-5930
"433","17175",748,1777,33,149,182,-1029
"434","17177",7531,10845,241,908,1149,-3314
"435","17179",20568,38620,823,3336,4159,-18052
"436","17181",2389,5780,126,219,345,-3391
"437","17183",9876,18582,281,1060,1341,-8706
"438","17185",1146,4039,42,175,217,-2893
"439","17187",2983,4267,92,358,450,-1284
"440","17189",1446,5566,75,289,364,-4120
"441","17191",1048,6963,55,190,245,-5915
"442","17193",1412,5639,34,204,238,-4227
"443","17195",11005,12597,325,1283,1608,-1592
"444","17197",146230,129726,3717,11337,15054,16504
"445","17199",8539,21503,394,986,1380,-12964
"446","17201",52595,53922,1632,4878,6510,-1327
"447","17203",5068,13180,213,928,1141,-8112
"448","18001",2802,9642,NA,595,NA,-6840
"449","18003",55222,83801,NA,6764,NA,-28579
"450","18005",9841,20637,NA,1911,NA,-10796
"451","18007",860,2579,NA,215,NA,-1719
"452","18009",1243,3349,NA,230,NA,-2106
"453","18011",10181,19654,NA,2226,NA,-9473
"454","18013",2518,5015,NA,375,NA,-2497
"455","18015",1891,6273,NA,445,NA,-4382
"456","18017",3758,9697,NA,680,NA,-5939
"457","18019",18791,30012,NA,2301,NA,-11221
"458","18021",2306,8528,NA,425,NA,-6222
"459","18023",2819,8530,NA,547,NA,-5711
"460","18025",1323,3013,NA,255,NA,-1690
"461","18027",1800,8545,NA,391,NA,-6745
"462","18029",4883,18110,NA,917,NA,-13227
"463","18031",2121,8488,NA,486,NA,-6367
"464","18033",3941,12054,NA,821,NA,-8113
"465","18035",18100,24217,NA,2382,NA,-6117
"466","18037",5389,13365,NA,1163,NA,-7976
"467","18039",20667,41810,NA,2710,NA,-21143
"468","18041",2252,6839,NA,439,NA,-4587
"469","18043",13939,21427,NA,1859,NA,-7488
"470","18045",1476,5661,NA,337,NA,-4185
"471","18047",1967,8665,NA,358,NA,-6698
"472","18049",1960,6010,NA,404,NA,-4050
"473","18051",3720,11079,NA,673,NA,-7359
"474","18053",7029,17009,NA,1201,NA,-9980
"475","18055",2929,10275,NA,559,NA,-7346
"476","18057",57214,87299,NA,9117,NA,-30085
"477","18059",8901,25050,NA,2076,NA,-16149
"478","18061",4776,12993,NA,759,NA,-8217
"479","18063",22595,48326,NA,4337,NA,-25731
